frame_id,image_path,timestamp,backend,n_detections,max_confidence,monitor_score,q95_threshold,q99_threshold,state_before,state_after,transition_reason,latency_ms,corruption,severity
1,clean/000026,2026-07-17T12:14:38.391595+00:00,tensorrt_fp16,3,0.907227,0.092773,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,1749.09,none,none
2,clean/000079,2026-07-17T12:14:38.436547+00:00,tensorrt_fp16,5,0.939453,0.060547,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.89,none,none
3,clean/000103,2026-07-17T12:14:38.479531+00:00,tensorrt_fp16,1,0.859863,0.140137,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,7.93,none,none
4,clean/000115,2026-07-17T12:14:38.524030+00:00,tensorrt_fp16,1,0.760742,0.239258,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.78,none,none
5,clean/000120,2026-07-17T12:14:38.563307+00:00,tensorrt_fp16,13,0.932129,0.067871,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.7,none,none
6,clean/000160,2026-07-17T12:14:38.620663+00:00,tensorrt_fp16,5,0.888672,0.111328,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,9.12,none,none
7,clean/000166,2026-07-17T12:14:38.659084+00:00,tensorrt_fp16,6,0.890137,0.109863,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.98,none,none
8,clean/000203,2026-07-17T12:14:38.698166+00:00,tensorrt_fp16,5,0.889648,0.110352,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.15,none,none
9,clean/000210,2026-07-17T12:14:38.735794+00:00,tensorrt_fp16,6,0.923828,0.076172,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.56,none,none
10,clean/000217,2026-07-17T12:14:38.774904+00:00,tensorrt_fp16,10,0.932617,0.067383,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,5.87,none,none
11,clean/000226,2026-07-17T12:14:38.817240+00:00,tensorrt_fp16,13,0.943848,0.056152,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.83,none,none
12,clean/000235,2026-07-17T12:14:38.854852+00:00,tensorrt_fp16,8,0.90918,0.09082,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.28,none,none
13,clean/000254,2026-07-17T12:14:38.892248+00:00,tensorrt_fp16,18,0.922852,0.077148,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.28,none,none
14,clean/000317,2026-07-17T12:14:38.934898+00:00,tensorrt_fp16,29,0.874023,0.125977,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,7.64,none,none
15,clean/000329,2026-07-17T12:14:38.968993+00:00,tensorrt_fp16,5,0.884766,0.115234,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.48,none,none
16,clean/000342,2026-07-17T12:14:39.012221+00:00,tensorrt_fp16,19,0.873047,0.126953,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.94,none,none
17,clean/000355,2026-07-17T12:14:39.059402+00:00,tensorrt_fp16,7,0.908203,0.091797,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,9.22,none,none
18,clean/000361,2026-07-17T12:14:39.089536+00:00,tensorrt_fp16,14,0.924316,0.075684,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.3,none,none
19,clean/000375,2026-07-17T12:14:39.131410+00:00,tensorrt_fp16,3,0.924316,0.075684,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.41,none,none
20,clean/000410,2026-07-17T12:14:39.170499+00:00,tensorrt_fp16,13,0.900391,0.099609,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.59,none,none
21,clean/000411,2026-07-17T12:14:39.199464+00:00,tensorrt_fp16,2,0.960938,0.039062,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.26,none,none
22,clean/000443,2026-07-17T12:14:39.256464+00:00,tensorrt_fp16,10,0.924805,0.075195,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,7.49,none,none
23,clean/000465,2026-07-17T12:14:39.295414+00:00,tensorrt_fp16,1,0.833496,0.166504,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.03,none,none
24,clean/000468,2026-07-17T12:14:39.324114+00:00,tensorrt_fp16,5,0.947754,0.052246,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,6.08,none,none
