frame_id,image_path,timestamp,backend,n_detections,max_confidence,monitor_score,q95_threshold,q99_threshold,state_before,state_after,transition_reason,latency_ms
1,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000009.png,2026-07-17T12:01:15.627653+00:00,pytorch,6,0.910367,0.089633,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.93
2,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000012.png,2026-07-17T12:01:15.644166+00:00,pytorch,3,0.85484,0.14516,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.7
3,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000021.png,2026-07-17T12:01:15.660182+00:00,pytorch,14,0.917146,0.082854,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.63
4,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000023.png,2026-07-17T12:01:15.675182+00:00,pytorch,6,0.881008,0.118992,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.66
5,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000063.png,2026-07-17T12:01:15.690165+00:00,pytorch,8,0.926503,0.073497,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.96
6,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000066.png,2026-07-17T12:01:15.704165+00:00,pytorch,4,0.826545,0.173455,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.25
7,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000112.png,2026-07-17T12:01:15.719165+00:00,pytorch,13,0.927418,0.072582,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.9
8,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000121.png,2026-07-17T12:01:15.734209+00:00,pytorch,10,0.882359,0.117641,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.32
9,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000129.png,2026-07-17T12:01:15.749690+00:00,pytorch,8,0.921251,0.078749,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.87
10,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000134.png,2026-07-17T12:01:15.766690+00:00,pytorch,31,0.923299,0.076701,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,17.06
